doc_id,file_name,_split,field,candidate_text,candidate_source,line_idx,line_rel_pos,line_token_count,candidate_len,candidate_token_count,candidate_digit_count,candidate_alpha_count,candidate_digit_ratio,candidate_uppercase_ratio,candidate_has_org_suffix,candidate_has_address_word,candidate_has_label_word,candidate_shape,line_has_colon,line_is_upper,line_digit_ratio,line_has_dollar,line_has_org_suffix,line_has_address_word,line_has_label_word,is_top_10_lines,is_top_20_lines,is_bottom_half,is_bottom_quarter,ctx_has_invoice,ctx_has_invoice_no,ctx_has_bill_to,ctx_has_sold_to,ctx_has_ship_to,ctx_has_attention,ctx_has_total,ctx_has_amount_due,ctx_has_reference,ctx_has_due,invoice_like_score,ocr_quality_score,doc_num_lines,doc_num_chars,recipient_like_person_prefix,recipient_like_attention,recipient_looks_address_only,recipient_digit_heavy,label,notes
doc_0323,rvl_train_21065.png,train,recipient_name,FRORET NOOR TENS,after_label,9,0.5,3,16,3,0,14,0.0,1.0,0,0,0,AAAAAA AAAA AAAA,0,1,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,19,393,0,0,0,0,,
doc_0323,rvl_train_21065.png,train,recipient_name,DER NUMER,after_label,11,0.6111,2,9,2,0,8,0.0,1.0,0,0,0,AAA AAAAA,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,19,393,0,0,0,0,,
doc_0323,rvl_train_21065.png,train,recipient_name,DeSCRETON,after_label,12,0.6667,1,9,1,0,9,0.0,0.8889,0,0,0,AaAAAAAAA,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,19,393,0,0,0,0,,
doc_0323,rvl_train_21065.png,train,recipient_name,@ HAZLETON casonatonies AMERICA. INC,early_org_line,0,0.0,5,36,5,0,30,0.0,0.6,1,0,0,@ AAAAAAAA aaaaaaaaaaaa AAAAAAA. AAA,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,19,393,0,0,0,0,,
doc_0323,rvl_train_21065.png,train,recipient_name,Attn: Dr. J. Daniel Heck,attention_line,7,0.3889,5,24,5,0,17,0.0,0.2941,0,1,0,Aaaa: Aa. A. Aaaaaa Aaaa,1,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,19,393,0,1,1,0,,
doc_0297,rvl_train_08022.png,train,recipient_name,"John P. Rupp, Esquire",after_label,14,0.4516,4,21,4,0,16,0.0,0.25,0,0,0,"Aaaa A. Aaaa, Aaaaaaa",0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,32,641,0,0,0,0,,
doc_0297,rvl_train_08022.png,train,recipient_name,Support of international ETS symposium at McGill University |,after_label,16,0.5161,9,61,9,0,52,0.0,0.1346,0,0,0,Aaaaaaa aa aaaaaaaaaaaaa AAA aaaaaaaaa a,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,32,641,0,0,0,0,,
doc_0297,rvl_train_08022.png,train,recipient_name,"in Montreal, Quebec.",after_label,17,0.5484,3,20,3,0,16,0.0,0.125,0,0,0,"aa Aaaaaaaa, Aaaaaa.",0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,32,641,0,0,0,0,,
doc_0297,rvl_train_08022.png,train,recipient_name,‘THE TOBACCO INSTITUTE,early_org_line,3,0.0968,3,22,3,0,19,0.0,1.0,1,0,0,‘AAA AAAAAAA AAAAAAAAA,0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,32,641,0,0,0,0,,
doc_0297,rvl_train_08022.png,train,recipient_name,PAY TO:___Covington & Burling,early_org_line,7,0.2258,4,29,4,0,21,0.0,0.3333,0,0,0,AAA AA:___Aaaaaaaaa & Aaaaaaa,1,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,32,641,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,recipient_name,Pp 111 Bighth Avene P,after_label,14,0.3182,5,21,5,3,14,0.1429,0.2857,0,0,0,Aa 000 Aaaaaa Aaaaa A,0,0,0.1429,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,45,1347,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,recipient_name,"v New York, BY 20011",after_label,15,0.3409,5,20,5,5,10,0.25,0.4,0,0,0,"a Aaa Aaaa, AA 00000",0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,0,0,0,1,,
doc_0244,rvl_train_09106.png,train,recipient_name,SRST OT SLT FEBE OBEY ZI,after_label,18,0.4091,6,24,6,0,19,0.0,1.0,0,0,0,AAAA AA AAA AAAA AAAA AA,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,recipient_name,MAL IVOGES TO OF ADMRUSTRATWE CENTER,early_org_line,5,0.1136,6,36,6,0,31,0.0,1.0,1,0,0,AAA AAAAAA AA AA AAAAAAAAAAAA AAAAAA,0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,recipient_name,8| artwork Reproductions Inc. S| see attached,early_org_line,12,0.2727,7,45,7,1,35,0.0222,0.0857,1,0,0,0| aaaaaaa Aaaaaaaaaaaaa Aaa. A| aaa aaa,0,0,0.0222,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,45,1347,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,recipient_name,To Greensboro: Week of February 29 See Attached,early_org_line,19,0.4318,8,47,8,2,37,0.0426,0.1622,0,0,0,Aa Aaaaaaaaaa: Aaaa aa Aaaaaaaa 00 Aaa A,1,0,0.0426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,recipient_name,"Pp Attn: Mr. A. Workstel """,attention_line,13,0.2955,6,26,6,0,17,0.0,0.2941,0,0,0,"Aa Aaaa: Aa. A. Aaaaaaaa """,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,45,1347,0,1,0,0,,
doc_0205,rvl_train_09013.png,train,recipient_name,Cc CG CONTRACT RESEARCH CENTER | avaase.at.,early_org_line,4,0.1176,7,43,7,0,34,0.0,0.7353,1,0,0,Aa AA AAAAAAAA AAAAAAAA AAAAAA | aaaaaa.,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,35,1001,0,0,0,0,,
doc_0267,rvl_train_06301.png,train,recipient_name,"LABORATORIES AMERICA, INC.",early_org_line,1,0.037,3,26,3,0,22,0.0,1.0,1,0,0,"AAAAAAAAAAAA AAAAAAA, AAA.",0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,28,518,0,0,0,0,,
doc_0267,rvl_train_06301.png,train,recipient_name,To: Lorillard Research Center,early_org_line,5,0.1852,4,29,4,0,25,0.0,0.16,1,0,0,Aa: Aaaaaaaaa Aaaaaaaa Aaaaaa,1,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,28,518,0,0,0,0,,
doc_0267,rvl_train_06301.png,train,recipient_name,"[Attention: Melanee B, Bennett",attention_line,9,0.3333,4,30,4,0,24,0.0,0.1667,0,0,0,"[Aaaaaaaaa: Aaaaaaa A, Aaaaaaa",1,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1.0,28,518,0,1,0,0,,
doc_0357,rvl_train_17339.png,train,recipient_name,"""A PROFESSIONAL CORPORATION",early_org_line,2,0.0909,3,27,3,0,24,0.0,1.0,1,0,0,"""A AAAAAAAAAAAA AAAAAAAAAAA",0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,23,644,0,0,0,0,,
doc_0357,rvl_train_17339.png,train,recipient_name,"CLIENT: PHILIP MORRIS COMPANIES, INC.",early_org_line,12,0.5455,5,37,5,0,30,0.0,1.0,1,0,0,"AAAAAA: AAAAAA AAAAAA AAAAAAAAA, AAA.",1,1,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,23,644,0,0,0,0,,
doc_0357,rvl_train_17339.png,train,recipient_name,OK TO PAY.,early_org_line,16,0.7273,3,10,3,0,7,0.0,1.0,0,0,0,AA AA AAA.,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,4,1.0,23,644,0,0,0,0,,
doc_0357,rvl_train_17339.png,train,recipient_name,REMITTANCE TO INSURE ACCURATE CREDIT,early_org_line,21,0.9545,5,36,5,0,32,0.0,1.0,0,0,0,AAAAAAAAAA AA AAAAAA AAAAAAAA AAAAAA,0,1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1.0,23,644,0,0,0,0,,
doc_0241,rvl_train_13849.png,train,recipient_name,"Metropolitan Sunday Newspapers, Inc.",early_org_line,0,0.0,4,36,4,0,31,0.0,0.129,1,0,0,"Aaaaaaaaaaaa Aaaaaa Aaaaaaaaaa, Aaa.",0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,20,709,0,0,0,0,,
doc_0341,rvl_train_04533.png,train,recipient_name,more <i. sid £2 CONTRACT RESEARCH CENTER BVBA,early_org_line,8,0.3077,8,45,8,1,34,0.0222,0.7647,1,0,0,aaaa <a. aaa £0 AAAAAAAA AAAAAAAA AAAAAA,0,0,0.0222,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,27,634,0,0,0,0,,
doc_0258,rvl_val_04091.png,train,recipient_name,BLIREF.: 231558,after_label,14,0.5385,2,15,2,6,6,0.4,1.0,0,0,0,AAAAAA.: 000000,1,1,0.4,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2,1.0,27,606,0,0,0,1,,
doc_0258,rvl_val_04091.png,train,recipient_name,"LABORATORIES, INC.",early_org_line,1,0.0385,2,18,2,0,15,0.0,1.0,1,0,0,"AAAAAAAAAAAA, AAA.",0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,27,606,0,0,0,0,,
doc_0258,rvl_val_04091.png,train,recipient_name,"Boriston Laboratories, Inc",early_org_line,2,0.0769,3,26,3,0,23,0.0,0.1304,1,0,0,"Aaaaaaaa Aaaaaaaaaaaa, Aaa",0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,27,606,0,0,0,0,,
doc_0258,rvl_val_04091.png,train,recipient_name,"LORILLARD, INC.",early_org_line,8,0.3077,2,15,2,0,12,0.0,1.0,1,0,0,"AAAAAAAAA, AAA.",0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,27,606,0,0,0,0,,
doc_0258,rvl_val_04091.png,train,recipient_name,"Borriston Laboratories, Inc.",early_org_line,20,0.7692,3,28,3,0,24,0.0,0.125,1,0,0,"Aaaaaaaaa Aaaaaaaaaaaa, Aaa.",0,0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1.0,27,606,0,0,0,0,,
doc_0258,rvl_val_04091.png,train,recipient_name,Attention: Dr. Harry Minnemeyer,attention_line,12,0.4615,4,31,4,0,26,0.0,0.1538,0,1,0,Aaaaaaaaa: Aa. Aaaaa Aaaaaaaaaa,1,0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1.0,27,606,0,1,1,0,,
doc_0364,rvl_test_22339.png,train,recipient_name,"‘Check Payable to, [Friends of Joe Roberts",early_org_line,16,0.64,7,42,7,0,33,0.0,0.1515,0,0,0,"‘Aaaaa Aaaaaaa aa, [Aaaaaaa aa Aaa Aaaaa",0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,26,739,0,0,0,0,,
doc_0343,rvl_train_02979.png,train,recipient_name,Philip Morris Inc. j 25-218:,early_org_line,3,0.1667,5,28,5,5,16,0.1786,0.1875,1,0,0,Aaaaaa Aaaaaa Aaa. a 00-000:,1,0,0.1786,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,19,613,0,0,0,1,,
doc_0343,rvl_train_02979.png,train,recipient_name,"LAZO Park, Aves 4 check made payable to The Hartford.",early_org_line,15,0.8333,10,53,10,1,41,0.0189,0.1951,0,0,0,"AAAA Aaaa, Aaaa 0 aaaaa aaaa aaaaaaa aa ",0,0,0.0189,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,19,613,0,0,0,0,,
doc_0227,rvl_train_00870.png,train,recipient_name,Job title : Courtesy of Choice,after_label,9,0.3,6,30,6,0,24,0.0,0.125,0,0,0,Aaa aaaaa : Aaaaaaaa aa Aaaaaa,1,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,31,1193,0,0,0,0,,
doc_0227,rvl_train_00870.png,train,recipient_name,Rent O ee SSUPIILASCHUG INC WRN TIMARN IUEPIIOEE I> PAANO.,early_org_line,1,0.0333,10,58,10,0,47,0.0,0.8936,1,0,0,Aaaa A aa AAAAAAAAAAAAA AAA AAA AAAAAA A,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,31,1193,0,0,0,0,,
doc_0227,rvl_train_00870.png,train,recipient_name,ATTN: Mary Pottorff Page : 1,attention_line,8,0.2667,6,28,6,1,20,0.0357,0.35,0,0,0,AAAA: Aaaa Aaaaaaaa Aaaa : 0,1,0,0.0357,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,31,1193,0,1,0,0,,
doc_0228,rvl_train_22982.png,train,recipient_name,Telemarketing Services voice Numaer; 116936,early_org_line,5,0.1351,5,43,5,6,32,0.1395,0.0938,1,0,0,Aaaaaaaaaaaaa Aaaaaaaa aaaaa Aaaaaa; 000,0,0,0.1395,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,38,566,0,0,0,1,,
doc_0228,rvl_train_22982.png,train,recipient_name,To: LORILLARD,early_org_line,9,0.2432,2,13,2,0,11,0.0,0.9091,0,0,0,Aa: AAAAAAAAA,1,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,38,566,0,0,0,0,,
doc_0312,rvl_train_13146.png,train,recipient_name,Bt Mason RESEARCH INSTITUTE,early_org_line,0,0.0,4,27,4,0,24,0.0,0.7917,1,0,0,Aa Aaaaa AAAAAAAA AAAAAAAAA,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,29,813,0,0,0,0,,
doc_0312,rvl_train_13146.png,train,recipient_name,"The Council for Tobacco Research, U.S.A.",early_org_line,3,0.1071,6,40,6,0,31,0.0,0.2258,1,0,0,"Aaa Aaaaaaa aaa Aaaaaaa Aaaaaaaa, A.A.A.",0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,29,813,0,0,0,0,,
doc_0202,rvl_train_00820.png,train,recipient_name,"EM &Company, Inc.",early_org_line,1,0.0233,3,17,3,0,12,0.0,0.3333,1,0,0,"AA &Aaaaaaa, Aaa.",0,0,0.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,44,877,0,0,0,0,,
doc_0202,rvl_train_00820.png,train,recipient_name,"Labor, equipment, and miscellaneous material to",early_org_line,14,0.3256,6,47,6,0,40,0.0,0.025,0,0,0,"Aaaaa, aaaaaaaaa, aaa aaaaaaaaaaaaa aaaa",0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,44,877,0,0,0,0,,
doc_0202,rvl_train_00820.png,train,recipient_name,and to repair Yankee thermocompressor.,early_org_line,16,0.3721,5,38,5,0,33,0.0,0.0303,0,0,0,aaa aa aaaaaa Aaaaaa aaaaaaaaaaaaaaaa.,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,44,877,0,0,0,0,,
doc_0266,rvl_train_18919.png,train,recipient_name,LORILLARD RESEARCH CENTER,early_org_line,5,0.1852,3,25,3,0,23,0.0,1.0,1,0,0,AAAAAAAAA AAAAAAAA AAAAAA,0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,28,512,0,0,0,0,,
doc_0232,rvl_test_14720.png,train,recipient_name,TC [RTOS PRET TT TO,early_org_line,8,0.2963,5,19,5,0,14,0.0,1.0,0,0,0,AA [AAAA AAAA AA AA,0,1,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,28,644,0,0,0,0,,
doc_0232,rvl_test_14720.png,train,recipient_name,RETURN TO: KANE (01 Jocranrier uLOMGRLGOR,early_org_line,11,0.4074,6,41,6,2,32,0.0488,0.6875,0,0,0,AAAAAA AA: AAAA (00 Aaaaaaaaaa aAAAAAAAA,1,0,0.0488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,28,644,0,0,0,0,,
doc_0268,rvl_train_02280.png,train,recipient_name,PLEASE REFER TO OUR INVOICE,early_org_line,0,0.0,5,27,5,0,23,0.0,1.0,0,0,1,AAAAAA AAAAA AA AAA AAAAAAA,0,1,0.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,22,615,0,0,0,0,,
doc_0268,rvl_train_02280.png,train,recipient_name,so.o70 suipreo To,early_org_line,6,0.2857,3,17,3,2,12,0.1176,0.0833,0,0,0,aa.a00 aaaaaaa Aa,0,0,0.1176,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,22,615,0,0,0,0,,
doc_0366,rvl_val_17596.png,train,recipient_name,MANAGEMENT CORP.,early_org_line,1,0.0769,2,16,2,0,14,0.0,1.0,1,0,0,AAAAAAAAAA AAAA.,0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,14,286,0,0,0,0,,
doc_0366,rvl_val_17596.png,train,recipient_name,Services Rendered: L9%e,early_org_line,6,0.4615,3,23,3,1,18,0.0435,0.1667,1,0,0,Aaaaaaaa Aaaaaaaa: A0%a,1,0,0.0435,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,14,286,0,0,0,0,,
doc_0277,rvl_train_14858.png,train,recipient_name,SPECIAL INSTRUCTIONS: Please return check to,early_org_line,8,0.2286,6,44,6,0,38,0.0,0.5263,0,0,0,AAAAAAA AAAAAAAAAAAA: Aaaaaa aaaaaa aaaa,1,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,36,920,0,0,0,0,,
doc_0277,rvl_train_14858.png,train,recipient_name,COST CENTER,early_org_line,12,0.3429,2,11,2,0,10,0.0,1.0,1,0,0,AAAA AAAAAA,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,36,920,0,0,0,0,,
doc_0283,rvl_train_12131.png,train,recipient_name,ait lt ENTS To! 3 FOB instifiTion,early_org_line,0,0.0,7,33,7,1,25,0.0303,0.36,0,0,0,aaa aa AAAA Aa! 0 AAA aaaaaaaAaaa,0,0,0.0303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,72,0,0,0,0,,
doc_0283,rvl_train_12131.png,train,recipient_name,"JELIVERED, INSIDE TO RECEI",early_org_line,1,0.5,4,26,4,0,22,0.0,1.0,0,0,0,"AAAAAAAAA, AAAAAA AA AAAAA",0,1,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,72,0,0,0,0,,
doc_0381,rvl_val_05855.png,train,recipient_name,"LABORATORIES AMERICA, INC",early_org_line,2,0.069,3,25,3,0,22,0.0,1.0,1,0,0,"AAAAAAAAAAAA AAAAAAA, AAA",0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,30,527,0,0,0,0,,
doc_0381,rvl_val_05855.png,train,recipient_name,"T vorittard, Inc.",early_org_line,5,0.1724,3,17,3,0,13,0.0,0.1538,1,0,0,"A aaaaaaaaa, Aaa.",0,0,0.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,30,527,0,0,0,0,,
doc_0381,rvl_val_05855.png,train,recipient_name,To: P.O. Box 21688,early_org_line,6,0.2069,4,18,4,5,7,0.2778,0.5714,0,0,0,Aa: A.A. Aaa 00000,1,0,0.2778,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,30,527,0,0,0,1,,
doc_0381,rvl_val_05855.png,train,recipient_name,Attn: Dr. Danfel J. Heck,attention_line,8,0.2759,5,24,5,0,17,0.0,0.2941,0,1,0,Aaaa: Aa. Aaaaaa A. Aaaa,1,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,30,527,0,1,1,0,,
doc_0310,rvl_train_01052.png,train,recipient_name,". DANIEL J. EDELMAN, INC.",early_org_line,0,0.0,5,25,5,0,17,0.0,1.0,1,0,0,". AAAAAA A. AAAAAAA, AAA.",0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,37,687,0,0,0,0,,
doc_0310,rvl_train_01052.png,train,recipient_name,PROFESSIONAL SERVICES |,early_org_line,12,0.3333,3,23,3,0,20,0.0,1.0,1,0,0,AAAAAAAAAAAA AAAAAAAA |,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,37,687,0,0,0,0,,
doc_0252,rvl_train_19783.png,train,recipient_name,RETURN TO: NAME SEPARTHENT | BULONGILGOR PRONE,early_org_line,13,0.3171,7,46,7,0,38,0.0,1.0,0,0,0,AAAAAA AA: AAAA AAAAAAAAAA | AAAAAAAAAAA,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,42,1037,0,0,0,0,,
doc_0388,rvl_train_19955.png,train,recipient_name,Philip Morris Inc.,early_org_line,13,0.619,3,18,3,0,15,0.0,0.2,1,0,0,Aaaaaa Aaaaaa Aaa.,0,0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,22,498,0,0,0,0,,
doc_0261,rvl_test_18090.png,train,recipient_name,BRITISH-AMERICAN TOBACCO COMPANY LTD,early_org_line,0,0.0,4,36,4,0,32,0.0,1.0,1,0,0,AAAAAAA-AAAAAAAA AAAAAAA AAAAAAA AAA,0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,23,536,0,0,0,0,,
doc_0261,rvl_test_18090.png,train,recipient_name,"Brown & Williamson Tobacco Corporation,",early_org_line,1,0.0455,5,39,5,0,33,0.0,0.1212,1,0,0,"Aaaaa & Aaaaaaaaaa Aaaaaaa Aaaaaaaaaaa,",0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,23,536,0,0,0,0,,
doc_0206,rvl_train_08025.png,train,recipient_name,434 tO,early_org_line,15,0.625,2,6,2,3,2,0.5,0.5,0,0,0,000 aA,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,25,532,0,0,0,0,,
