doc_id,file_name,_split,field,candidate_text,candidate_source,line_idx,line_rel_pos,line_token_count,candidate_len,candidate_token_count,candidate_digit_count,candidate_alpha_count,candidate_digit_ratio,candidate_uppercase_ratio,candidate_has_org_suffix,candidate_has_address_word,candidate_has_label_word,candidate_shape,line_has_colon,line_is_upper,line_digit_ratio,line_has_dollar,line_has_org_suffix,line_has_address_word,line_has_label_word,is_top_10_lines,is_top_20_lines,is_bottom_half,is_bottom_quarter,ctx_has_invoice,ctx_has_invoice_no,ctx_has_bill_to,ctx_has_sold_to,ctx_has_ship_to,ctx_has_attention,ctx_has_total,ctx_has_amount_due,ctx_has_reference,ctx_has_due,invoice_like_score,ocr_quality_score,doc_num_lines,doc_num_chars,inv_has_digit,inv_has_dash,inv_has_slash,inv_all_capsish,inv_valid_by_rules,inv_short_code,label,notes
doc_0357,rvl_train_17339.png,train,invoice_number,67550435,invoiceish_line_token,9,0.4091,6,8,1,8,0,1.0,0.0,0,0,0,00000000,1,0,0.2973,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1.0,23,644,1,0,0,1,1,0,,
doc_0241,rvl_train_13849.png,train,invoice_number,90220,labeled,5,0.2632,3,5,1,5,0,1.0,0.0,0,0,0,00000,0,0,0.5263,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,20,709,1,0,0,1,1,0,,
doc_0258,rvl_val_04091.png,train,invoice_number,1558-1,labeled,15,0.5769,3,6,1,5,0,0.8333,0.0,0,0,0,0000-0,1,1,0.2632,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,27,606,1,1,0,1,1,0,,
doc_0307,rvl_train_07197.png,train,invoice_number,906516,invoiceish_line_token,3,0.1071,10,6,1,6,0,1.0,0.0,0,0,0,000000,1,1,0.1429,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1.0,29,812,1,0,0,1,1,0,,
doc_0362,rvl_test_23617.png,train,invoice_number,o3e06,labeled,3,0.1364,6,5,1,3,2,0.6,0.0,0,0,0,a0a00,0,0,0.2381,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,23,504,1,0,0,0,1,0,,
doc_0362,rvl_test_23617.png,train,invoice_number,1550850,invoiceish_line_token,3,0.1364,6,7,1,7,0,1.0,0.0,0,0,0,0000000,0,0,0.2381,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,23,504,1,0,0,1,1,0,,
doc_0373,rvl_train_05183.png,train,invoice_number,09-30-86,invoiceish_line_token,1,0.0769,8,8,1,6,0,0.75,0.0,0,0,0,00-00-00,1,0,0.1111,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,3,1.0,14,356,1,1,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,301-899,invoiceish_line_token,5,0.1852,5,7,1,6,0,0.8571,0.0,0,0,0,000-000,1,0,0.2857,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,28,654,1,1,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,194C,invoiceish_line_token,13,0.4815,10,4,1,3,1,0.75,1.0,0,0,0,000A,1,0,0.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,28,654,1,0,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,30087,invoiceish_line_token,13,0.4815,10,5,1,5,0,1.0,0.0,0,0,0,00000,1,0,0.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,28,654,1,0,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,1567-1,labeled,15,0.5556,6,6,1,5,0,0.8333,0.0,0,0,0,0000-0,1,0,0.2812,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,28,654,1,1,0,1,1,0,,
doc_0337,rvl_train_14039.png,train,invoice_number,371960-01,invoiceish_line_token,18,0.6207,4,9,1,8,0,0.8889,0.0,0,0,0,000000-00,0,0,0.3214,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,30,946,1,1,0,1,1,0,,
doc_0256,rvl_train_15055.png,train,invoice_number,807653,labeled,10,0.4545,2,6,1,6,0,1.0,0.0,0,0,0,000000,0,0,0.4,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,23,669,1,0,0,1,1,0,,
doc_0336,rvl_train_13088.png,train,invoice_number,V-91-131,labeled,13,0.7222,7,8,1,5,1,0.625,1.0,0,0,0,A-00-000,0,0,0.2712,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,19,519,1,1,0,1,1,0,,
doc_0336,rvl_train_13088.png,train,invoice_number,6/13/91,invoiceish_line_token,13,0.7222,7,7,1,5,0,0.7143,0.0,0,0,0,0/00/00,0,0,0.2712,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,19,519,1,0,1,1,1,0,,
doc_0348,rvl_train_05243.png,train,invoice_number,30712,labeled,1,0.125,10,5,1,5,0,1.0,0.0,0,0,0,00000,0,0,0.1569,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,9,197,1,0,0,1,1,0,,
doc_0348,rvl_train_05243.png,train,invoice_number,a38a8,invoiceish_line_token,1,0.125,10,5,1,3,2,0.6,0.0,0,0,0,a00a0,0,0,0.1569,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,9,197,1,0,0,0,1,0,,
doc_0245,rvl_train_03350.png,train,invoice_number,27405,invoiceish_line_token,6,0.3529,9,5,1,5,0,1.0,0.0,0,0,0,00000,0,0,0.0926,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,18,330,1,0,0,1,1,0,,
doc_0247,rvl_train_03040.png,train,invoice_number,RIR-10,invoiceish_line_token,12,0.4615,5,6,1,2,3,0.3333,1.0,0,0,0,AAA-00,1,0,0.0952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,27,698,1,1,0,1,1,0,,
doc_0226,rvl_val_06516.png,train,invoice_number,14333,invoiceish_line_token,27,1.0,4,5,1,5,0,1.0,0.0,0,0,0,00000,0,1,0.28,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,28,517,1,0,0,1,1,0,,
doc_0302,rvl_train_08846.png,val,invoice_number,9109161,labeled,12,0.5,11,7,1,7,0,1.0,0.0,0,0,0,0000000,0,0,0.2203,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,25,650,1,0,0,1,1,0,,
doc_0380,rvl_train_08631.png,val,invoice_number,104264528,labeled,5,0.3125,6,9,1,9,0,1.0,0.0,0,0,0,000000000,0,1,0.3409,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,17,484,1,0,0,1,1,0,,
doc_0380,rvl_train_08631.png,val,invoice_number,04/26/91,invoiceish_line_token,5,0.3125,6,8,1,6,0,0.75,0.0,0,0,0,00/00/00,0,1,0.3409,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,17,484,1,0,1,1,1,0,,
doc_0264,rvl_train_11851.png,val,invoice_number,y40018,invoiceish_line_token,3,0.15,4,6,1,5,1,0.8333,0.0,0,0,0,a00000,1,0,0.25,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,1.0,21,462,1,0,0,0,1,0,,
doc_0298,rvl_val_05355.png,test,invoice_number,PO234E0014,invoiceish_line_token,4,0.3636,10,10,1,7,3,0.7,1.0,0,0,0,AA000A0000,0,0,0.2857,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,12,320,1,0,0,1,1,0,,
doc_0298,rvl_val_05355.png,test,invoice_number,08/23/78,invoiceish_line_token,4,0.3636,10,8,1,6,0,0.75,0.0,0,0,0,00/00/00,0,0,0.2857,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,12,320,1,0,1,1,1,0,,
doc_0358,rvl_train_08239.png,test,invoice_number,1496-4,labeled,11,0.4783,3,6,1,5,0,0.8333,0.0,0,0,0,0000-0,1,0,0.2941,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,24,562,1,1,0,1,1,0,,
doc_0292,rvl_train_19961.png,test,invoice_number,61967,labeled,7,0.2333,8,5,1,5,0,1.0,0.0,0,0,0,00000,1,1,0.3654,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,31,801,1,0,0,1,1,0,,
doc_0292,rvl_train_19961.png,test,invoice_number,6/1/89,invoiceish_line_token,7,0.2333,8,6,1,4,0,0.6667,0.0,0,0,0,0/0/00,1,1,0.3654,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,31,801,1,0,1,1,1,0,,
doc_0292,rvl_train_19961.png,test,invoice_number,07407/07411-D,invoiceish_line_token,7,0.2333,8,13,1,10,1,0.7692,1.0,0,0,0,00000/00000-A,1,1,0.3654,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,31,801,1,1,1,1,1,0,,
